0.35092,0.20478,-0.37378,-0.85542
0.31704,0.17108,-0.39011,-0.84867
0.28316,0.13737,-0.40645,-0.84193
0.24928,0.10367,-0.42279,-0.8352
0.21541,0.069961,-0.43914,-0.8285
0.18156,0.036271,-0.4555,-0.82186
0.1478,0.0026605,-0.47182,-0.81523
0.11426,-0.030603,-0.48781,-0.80817
0.081344,-0.062532,-0.50216,-0.79845
0.050016,-0.089914,-0.51022,-0.77748
0.022077,-0.10435,-0.49882,-0.71987
-0.0012213,-0.093009,-0.44579,-0.58072
-0.023269,-0.056634,-0.34786,-0.34911
-0.050153,-0.019594,-0.24206,-0.0952
-0.082773,0.0020884,-0.157,0.12224
-0.11857,0.010943,-0.091473,0.30265
-0.15556,0.013136,-0.036709,0.46196
-0.19263,0.012489,0.01287,0.61051
-0.22844,0.011031,0.059209,0.75075
-0.25932,0.010519,0.10056,0.87462
-0.2739,0.014463,0.12788,0.9494
-0.24248,0.031179,0.11596,0.88651
-0.12249,0.071937,0.027455,0.5563
0.063254,0.12926,-0.12028,0.022701
0.20844,0.17369,-0.23647,-0.39589
0.27696,0.19631,-0.28822,-0.58698
0.3002,0.20638,-0.30131,-0.64244
0.30504,0.21133,-0.29872,-0.64288
0.30367,0.21428,-0.29136,-0.62583
0.30105,0.21594,-0.28467,-0.60866
0.2992,0.21525,-0.28344,-0.60384
0.29709,0.20821,-0.29365,-0.62266
0.28563,0.18739,-0.3167,-0.65708
0.24839,0.15093,-0.33358,-0.64741
0.18528,0.11261,-0.31845,-0.53949
0.11418,0.083446,-0.27535,-0.3634
0.044876,0.061816,-0.22068,-0.16524
-0.021925,0.0437,-0.16289,0.036414
-0.087384,0.026897,-0.1045,0.23771
-0.15229,0.010536,-0.04604,0.43847
-0.21699,-0.005686,0.012399,0.63895
-0.28162,-0.021866,0.070824,0.83932
-0.34624,-0.038034,0.12924,1.0397
-0.41085,-0.0542,0.18766,1.24
-0.47546,-0.070364,0.24608,1.4403
