-0.10528,-0.49655,0.32461,0.79801
-0.1108,-0.46372,0.35286,0.79638
-0.11632,-0.43088,0.38113,0.79475
-0.12185,-0.39801,0.4094,0.79311
-0.12742,-0.36506,0.43768,0.79149
-0.13308,-0.33191,0.46599,0.7899
-0.13903,-0.2982,0.49431,0.7884
-0.14579,-0.26305,0.52246,0.78719
-0.15476,-0.22449,0.54951,0.78686
-0.16933,-0.17879,0.5718,0.78899
-0.19573,-0.12242,0.57846,0.797
-0.23803,-0.06267,0.55013,0.81465
-0.28392,-0.027287,0.48183,0.83841
-0.31218,-0.033867,0.40354,0.85752
-0.32015,-0.067746,0.3406,0.86794
-0.31689,-0.11102,0.29343,0.87266
-0.30897,-0.15628,0.25523,0.87472
-0.29908,-0.20195,0.2214,0.87557
-0.2878,-0.24838,0.19006,0.87566
-0.27448,-0.2966,0.16143,0.87473
-0.25729,-0.34799,0.13835,0.87182
-0.23318,-0.40284,0.12795,0.86504
-0.20068,-0.456,0.14045,0.85262
-0.16649,-0.49428,0.17616,0.83678
-0.14284,-0.50972,0.21492,0.8241
-0.13265,-0.51022,0.23947,0.81766
-0.13045,-0.50605,0.25024,0.8156
-0.13146,-0.50153,0.25352,0.81553
-0.13354,-0.49746,0.25358,0.81622
-0.13593,-0.49373,0.25241,0.81717
-0.13841,-0.49019,0.2508,0.81819
-0.14092,-0.4867,0.24905,0.81925
-0.14349,-0.48316,0.24721,0.82034
-0.14636,-0.47926,0.24509,0.82156
-0.15061,-0.47389,0.24143,0.82343
-0.15976,-0.46403,0.2314,0.82773
-0.17917,-0.44669,0.20555,0.83741
-0.20504,-0.42811,0.16529,0.85102
-0.22542,-0.41788,0.12794,0.86244
-0.23825,-0.41505,0.099828,0.8702
-0.247,-0.41556,0.07754,0.87587
-0.25401,-0.41732,0.057962,0.88063
-0.26031,-0.41953,0.039586,0.885
-0.26628,-0.42191,0.021766,0.8892
-0.27211,-0.42437,0.0042289,0.89331
