-4.208889300399190070e-01,5.180578674348002011e-01,6.886901802825001750e-01,-1.819001839720756075e-01,5.760820259713365088e-01,2.265082284375040736e-02,-1.347308966532595985e-02,-3.478583274865543751e-01,6.639280316340149257e-01,6.924068418445593620e-01
-3.949725519732734669e-01,5.001278295380430228e-01,7.294477772379567293e-01,-2.137860851696242459e-01,3.497838359966909949e-01,3.286276498138805402e-01,-3.778847072917217512e-03,-3.415155014008556811e-01,7.073707557118182887e-01,6.340898544153599214e-01
-3.596325393653800329e-01,4.841416498901832677e-01,7.624325661237945084e-01,-2.380577826175121203e-01,1.460526413378456512e-01,5.715015285747436780e-01,-7.780741288223366053e-04,-3.326769211705567497e-01,7.455907818892757444e-01,5.817675596845164332e-01
-3.159943522804421479e-01,4.700912587499279094e-01,7.881645749087849984e-01,-2.552738004028001773e-01,-3.576794339391375227e-02,7.556740810500636174e-01,-3.886386975646579506e-03,-3.216488474252927610e-01,7.788139716256711198e-01,5.352283396658770176e-01
-2.651834507826632548e-01,4.579685863759841435e-01,8.071638315616995740e-01,-2.659926626125493909e-01,-1.963343035873013065e-01,8.855469291635638118e-01,-1.251940175599518777e-02,-3.087375407946988948e-01,8.072661863802880200e-01,4.942605763732901281e-01
-2.083252949362469075e-01,4.477655630270591658e-01,8.199503640513093883e-01,-2.707728933338208188e-01,-3.363028246310314495e-01,9.655216948389682141e-01,-2.609273461247342552e-02,-2.942492619084102756e-01,8.311732876124103830e-01,4.586526518206036629e-01
-1.465453448053964935e-01,4.394741189618599497e-01,8.270442003463860381e-01,-2.701730166536752686e-01,-4.563298919138182863e-01,1.000000000000000000e+00,-4.402200168768653776e-02,-2.784902713960621390e-01,8.507611367813219250e-01,4.281929480216660755e-01
-8.096906045431545573e-02,4.330861844390937465e-01,8.289653684157008984e-01,-2.647515566591738256e-01,-5.570718908243761369e-01,9.933834665703831224e-01,-6.572281912423978689e-02,-2.617668298872895538e-01,8.662555953463064728e-01,4.026698469903255972e-01
-1.272190194720734802e-02,4.285936897174676408e-01,8.262338962280252330e-01,-2.550670374373774640e-01,-6.391852067514193214e-01,9.500737164738413121e-01,-9.061080306473846824e-02,-2.443851980117277556e-01,8.778825247666475207e-01,3.818717307404303485e-01
5.707067065172444220e-02,4.259885650556887726e-01,8.193698117521305280e-01,-2.416779830753471303e-01,-7.033262250836619378e-01,8.744723716340978559e-01,-1.181015696517877800e-01,-2.266516363990118965e-01,8.858677865016292285e-01,3.655869812858286161e-01
